id,category_alias,category_title
1Jjg8-vQVRQqqtL4sODi5g,gourmet,Specialty Food
1Jjg8-vQVRQqqtL4sODi5g,newamerican,American (New)
1Jjg8-vQVRQqqtL4sODi5g,beerbar,Beer Bar
sCNZGN2Zh1T5hht728hV5Q,newmexican,New Mexican Cuisine
sCNZGN2Zh1T5hht728hV5Q,cafes,Cafes
sCNZGN2Zh1T5hht728hV5Q,bakeries,Bakeries
38YuedP0ItlKbC-ncJ1XCQ,newamerican,American (New)
BjOcAXbQw0uP1B7zXcf8jw,bars,Bars
BjOcAXbQw0uP1B7zXcf8jw,salad,Salad
BjOcAXbQw0uP1B7zXcf8jw,sandwiches,Sandwiches
i_BsShdENA-fDVCCIj8GFw,newamerican,American (New)
i_BsShdENA-fDVCCIj8GFw,wine_bars,Wine Bars
i_BsShdENA-fDVCCIj8GFw,beerbar,Beer Bar
AdAZ_V986tGg7RVcx-6EEw,wine_bars,Wine Bars
AdAZ_V986tGg7RVcx-6EEw,tapasmallplates,Tapas/Small Plates
AdAZ_V986tGg7RVcx-6EEw,beerbar,Beer Bar
vk7W3_sQwr7eZbRFsXv6rw,desserts,Desserts
vk7W3_sQwr7eZbRFsXv6rw,japanese,Japanese
vk7W3_sQwr7eZbRFsXv6rw,icecream,Ice Cream & Frozen Yogurt
VIg6EKndVDPtGNbeth41Rg,sandwiches,Sandwiches
VIg6EKndVDPtGNbeth41Rg,newamerican,American (New)
VIg6EKndVDPtGNbeth41Rg,cocktailbars,Cocktail Bars
roT-M9epcHDOGjYgGmWpoA,ethiopian,Ethiopian
roT-M9epcHDOGjYgGmWpoA,vegan,Vegan
roT-M9epcHDOGjYgGmWpoA,vegetarian,Vegetarian
