name,locality,cuisine,price_per_person,overall_rating,food,service,ambiance,reviews,noise,dining_style,latitude,longitude,url
The Cecil Steakhouse,Harlem,American,$$,4.2,4.2,4,4.2,4469,Moderate,Casual Dining,40.8047682,-73.9525188,https://www.kayak.com/New-York-Restaurants-The-Cecil-Steakhouse.100040230.rd.ksp
Le Monde,Morningside Heights,French,$$,4.5,4.4,4.5,4.4,157,Moderate,Casual Elegant,40.8057929,-73.9658536,https://www.kayak.com/New-York-Restaurants-Le-Monde.100035650.rd.ksp
Ginny’s Supper Club,Harlem,American,$$,4.4,4.1,4.1,4.6,1331,Moderate,Casual Dining,40.8080989,-73.9447535,https://www.kayak.com/New-York-Restaurants-Ginnys-Supper-Club.100979256.rd.ksp
Delmonico's,Financial District,Steakhouse,$$$,4.4,3.5,4.3,4.4,14620,Moderate,Casual Elegant,40.705042,-74.0102055,https://www.kayak.com/New-York-Restaurants-Delmonico-s.100016670.rd.ksp
Reserve Cut,Financial District,Kosher,$$$,4.6,4.6,4.6,4.7,4188,Moderate,Fine Dining,40.7060793,-74.0118404,https://www.kayak.com/New-York-Restaurants-Reserve-Cut-at-Setai.100001747.rd.ksp
The Capital Grille - NY- Wall Street,Financial District,Steakhouse,$$$,4.5,4.5,4.4,4.4,10712,Moderate,Fine Dining,40.707847,-74.010226,https://www.kayak.com/New-York-Restaurants-The-Capital-Grille-NY-Wall-Street.100013417.rd.ksp
MarkJoseph Steakhouse,Financial District,Steakhouse,$$$,4.6,4.5,4.8,4.3,61,Moderate,Fine Dining,40.70837,-74.00152,https://www.kayak.com/New-York-Restaurants-MarkJoseph-Steakhouse.100019250.rd.ksp
Temple Court,Financial District,American,$$$,4.6,4.5,4.6,4.8,58,Moderate,Casual Elegant,40.7113002,-74.0067691,https://www.kayak.com/New-York-Restaurants-Temple-Court.100033173.rd.ksp
Günter Seeger NY- Kitchen Table,West Village,Contemporary American,$$$,4.8,5,4.9,4.8,25,Low,Fine Dining,40.7127753,-74.0059728,https://www.kayak.com/New-York-Restaurants-Guenter-Seeger-NY.100034178.rd.ksp
The View Restaurant at New York Marriott Marquis,Midtown,Contemporary American,$$$,4.7,3.5,4.8,4.6,137,Moderate,Casual Elegant,40.7127753,-74.0059728,https://www.kayak.com/New-York-Restaurants-The-View-Restaurant-at-New-York-Marriott-Marquis.101006690.rd.ksp
Nusr-Et Steakhouse New York,Midtown,Steakhouse,$$$,4.6,4.6,4.6,4.6,299,Moderate,Casual Elegant,40.7127753,-74.0059728,https://www.kayak.com/New-York-Restaurants-Nusr-Et-Steakhouse-New-York.101008879.rd.ksp
Marc Forgione,Tribeca,Contemporary American,$$$,4.6,4.6,4.5,4.5,11114,Moderate,Fine Dining,40.7164938,-74.0096073,https://www.kayak.com/New-York-Restaurants-Marc-Forgione.101010361.rd.ksp
Sushi of Gari - Tribeca,Tribeca,Sushi,$$$,4.8,4.8,4.8,4.3,88,Moderate,Fine Dining,40.7167708,-74.008468,https://www.kayak.com/New-York-Restaurants-Sushi-of-Gari-Tribeca.100022819.rd.ksp
Atera,Tribeca,Contemporary American,$$$,4.8,4.8,4.9,4.8,3207,Low,Fine Dining,40.7169003,-74.0055631,https://www.kayak.com/New-York-Restaurants-Atera.100044765.rd.ksp
Dirt Candy,Lower East Side,Contemporary American,$$$,4.6,4.6,4.6,4.3,9957,Moderate,Casual Elegant,40.7178731,-73.9907212,https://www.kayak.com/New-York-Restaurants-Dirt-Candy.100010723.rd.ksp
JUNGSIK,Tribeca,Korean,$$$,4.8,4.8,4.8,4.6,6055,Low,Fine Dining,40.7188267,-74.0090751,https://www.kayak.com/New-York-Restaurants-JUNGSIK.100018221.rd.ksp
Il Mulino New York - Tribeca,Tribeca,Italian,$$$,4.6,4.6,4.6,4.6,94,Moderate,Fine Dining,40.719033,-74.010062,https://www.kayak.com/New-York-Restaurants-Il-Mulino-New-York-Tribeca.100052291.rd.ksp
Le Coucou,SoHo,French,$$$,4.7,4.6,4.7,4.8,880,Moderate,Casual Elegant,40.7190849,-74.0001395,https://www.kayak.com/New-York-Restaurants-Le-Coucou.100030357.rd.ksp
The Django,Tribeca,American,$$$,4.6,4.1,4.2,4.8,2591,Moderate,Casual Elegant,40.7192738,-74.0048357,https://www.kayak.com/New-York-Restaurants-The-Django.100025415.rd.ksp
Bâtard,Tribeca,Modern European,$$$,4.8,4.8,4.9,4.7,61,Moderate,Casual Elegant,40.7195759,-74.0058025,https://www.kayak.com/New-York-Restaurants-Batard.101007968.rd.ksp
Yopparai,Lower East Side,Izakaya,$$$,4.8,4.8,4.8,4.7,47,Moderate,Casual Elegant,40.7197247,-73.9848672,https://www.kayak.com/New-York-Restaurants-Yopparai.101027735.rd.ksp
Wolfgang's Steakhouse - Tribeca,Tribeca,Steakhouse,$$$,4.5,4.6,4.5,4.3,206,Moderate,Casual Elegant,40.7211681,-74.0097607,https://www.kayak.com/New-York-Restaurants-Wolfgang-s-Steakhouse-Tribeca.100970267.rd.ksp
Il Mulino Prime - SoHo,SoHo,Italian,$$$,4.5,4.4,4.6,4.5,90,Moderate,Fine Dining,40.7221986,-74.0037652,https://www.kayak.com/New-York-Restaurants-Il-Mulino-Prime-SoHo.101009043.rd.ksp
Momofuku Ko - Table Seating,East Village,American,$$$,4.7,4.8,4.8,4.6,331,Moderate,Fine Dining,40.7249493,-73.9916093,https://www.kayak.com/New-York-Restaurants-Momofuku-Ko-Table-Seating.100965466.rd.ksp
Gato,NoHo,Mediterranean,$$$,4.6,4.6,4.5,4.5,17485,Moderate,Casual Elegant,40.7255749,-73.9951521,https://www.kayak.com/New-York-Restaurants-Gato.100004047.rd.ksp
Sushi Dojo,East Village,Sushi,$$$,4.5,4.6,4.4,4.1,2511,Moderate,Casual Dining,40.7266347,-73.9856636,https://www.kayak.com/New-York-Restaurants-Sushi-Dojo.100028894.rd.ksp
Cagen,East Village,Japanese,$$$,4.6,4.6,4.6,4.2,850,Low,Casual Dining,40.7277388,-73.9842523,https://www.kayak.com/New-York-Restaurants-Cagen.100002458.rd.ksp
Minetta Tavern,Manhattan,French,$$$,4.5,4.5,4.4,4.4,15598,Moderate,Casual Elegant,40.7299655,-74.0006297,https://www.kayak.com/New-York-Restaurants-Minetta-Tavern.100012697.rd.ksp
Hearth,East Village,Italian,$$$,4.7,4.7,4.6,4.7,147,Moderate,Casual Elegant,40.7300338,-73.9832859,https://www.kayak.com/New-York-Restaurants-Hearth.100011920.rd.ksp
