id,category_alias,category_title
iIcFJGEJ6MmPCXD2cjq7dg,sandwiches,Sandwiches
wsbDdHJFdD-8vFmfYYGBOw,sandwiches,Sandwiches
wsbDdHJFdD-8vFmfYYGBOw,newamerican,American (New)
Dci3yvrnPZ5kOF5t3xV8gg,gastropubs,Gastropubs
Dci3yvrnPZ5kOF5t3xV8gg,tradamerican,American (Traditional)
Dci3yvrnPZ5kOF5t3xV8gg,sportsbars,Sports Bars
byGMI4eNZ1jT0PBVs7bLhA,steak,Steakhouses
byGMI4eNZ1jT0PBVs7bLhA,seafood,Seafood
Zyz4_dPHHY2sxncIhnw9gw,ramen,Ramen
bJUDGmgdiicJHTmPtblFRg,kosher,Kosher
bJUDGmgdiicJHTmPtblFRg,burgers,Burgers
bJUDGmgdiicJHTmPtblFRg,sandwiches,Sandwiches
ZjM2Eg7mgxFfbfJCTMA0bg,steak,Steakhouses
0hkcgYuuLu8yRKwBUKkMOg,steak,Steakhouses
uomPPl_0tzr0VgpcOA49UQ,tacos,Tacos
uomPPl_0tzr0VgpcOA49UQ,tapasmallplates,Tapas/Small Plates
-jdadX3fGXA2TDapnufYFA,pizza,Pizza
-jdadX3fGXA2TDapnufYFA,sandwiches,Sandwiches
k1CZco0zQH_DoKxHLsqclQ,italian,Italian
k1CZco0zQH_DoKxHLsqclQ,bars,Bars
FtVS61uD2cQn1uFKQzP9rQ,cocktailbars,Cocktail Bars
FtVS61uD2cQn1uFKQzP9rQ,tradamerican,American (Traditional)
FtVS61uD2cQn1uFKQzP9rQ,salad,Salad
o21xgz-ga-sf3AP9su6qlQ,soulfood,Soul Food
BF5rzGE9OOTOUVH0pjHa5Q,shanghainese,Shanghainese
yAAJvW7H49z_WpfmUdKmKw,dimsum,Dim Sum
eMMF_kyHQIrX_An67wYcpA,sportsbars,Sports Bars
eMMF_kyHQIrX_An67wYcpA,tradamerican,American (Traditional)
eMMF_kyHQIrX_An67wYcpA,desserts,Desserts
iuDHYaSmWG-fwO4__x-pPA,steak,Steakhouses
iuDHYaSmWG-fwO4__x-pPA,italian,Italian
x5wkUT0CoU9hyG77ULPbzg,pancakes,Pancakes
x5wkUT0CoU9hyG77ULPbzg,waffles,Waffles
x5wkUT0CoU9hyG77ULPbzg,sandwiches,Sandwiches
WnjqJqxs9Vc9o0dpRO0-Pg,cocktailbars,Cocktail Bars
WnjqJqxs9Vc9o0dpRO0-Pg,tacos,Tacos
WnjqJqxs9Vc9o0dpRO0-Pg,beerbar,Beer Bar
Edufnep6JC9FC1TTfDCD3g,peruvian,Peruvian
Edufnep6JC9FC1TTfDCD3g,seafood,Seafood
Edufnep6JC9FC1TTfDCD3g,breakfast_brunch,Breakfast & Brunch
eMm3IASXfWv7MjnhPr9p5g,russian,Russian
sXxpqjRajbspzLRdv_6QBw,chinese,Chinese
sXxpqjRajbspzLRdv_6QBw,sushi,Sushi Bars
sXxpqjRajbspzLRdv_6QBw,ramen,Ramen
mV9IiJ0HV2ywtmz5b9ztAw,brazilian,Brazilian
eEXyfGSTozNgeFEsvCrjoA,breakfast_brunch,Breakfast & Brunch
eEXyfGSTozNgeFEsvCrjoA,diners,Diners
noAK8MYwce_e1Xl4fsZ7cQ,soulfood,Soul Food
noAK8MYwce_e1Xl4fsZ7cQ,personalchefs,Personal Chefs
jmHLY2GX3qraJuszRktoAg,italian,Italian
jmHLY2GX3qraJuszRktoAg,wine_bars,Wine Bars
jmHLY2GX3qraJuszRktoAg,cocktailbars,Cocktail Bars
rHq8HOaRsct8_ON5Ob3eQw,chinese,Chinese
fsZIYlkhLbZjUpqQtjGeHQ,tradamerican,American (Traditional)
MOTZjYcyAwqUhxXIrrfoww,filipino,Filipino
Yv-X65XvRPRQ7JC32ZIfzg,noodles,Noodles
yH7vuFoaSDak__FG4sAO_g,comfortfood,Comfort Food
yH7vuFoaSDak__FG4sAO_g,wine_bars,Wine Bars
yH7vuFoaSDak__FG4sAO_g,cocktailbars,Cocktail Bars
4yEZo9Ei4NZB8nUCCevKgg,mexican,Mexican
4yEZo9Ei4NZB8nUCCevKgg,bars,Bars
Mn3YQmT44rShLz1jZdZ5Tg,italian,Italian
QAgNvkzLE-LdZKz1wJp7GA,latin,Latin American
QAgNvkzLE-LdZKz1wJp7GA,desserts,Desserts
QAgNvkzLE-LdZKz1wJp7GA,sandwiches,Sandwiches
KAV7h2oKYSpOkLvsq3yduA,vietnamese,Vietnamese
KAV7h2oKYSpOkLvsq3yduA,sandwiches,Sandwiches
KAV7h2oKYSpOkLvsq3yduA,bubbletea,Bubble Tea
x_N5GYWE7LfaFJV96AyuhA,pizza,Pizza
x_N5GYWE7LfaFJV96AyuhA,italian,Italian
JP51QIvqSr9mTmuxyd5GMA,pizza,Pizza
JP51QIvqSr9mTmuxyd5GMA,french,French
JP51QIvqSr9mTmuxyd5GMA,cocktailbars,Cocktail Bars
GnmQyaWFv3ZwVF7UYFWZDg,italian,Italian
GnmQyaWFv3ZwVF7UYFWZDg,pizza,Pizza
GnmQyaWFv3ZwVF7UYFWZDg,catering,Caterers
Wa2sWI3Z_DK1rEiyhmJqgA,italian,Italian
Wa2sWI3Z_DK1rEiyhmJqgA,wine_bars,Wine Bars
tLJ5zpZjGZAJExDTSvjtGA,sushi,Sushi Bars
oFRunHixOnSVqhP59IrczQ,seafood,Seafood
oFRunHixOnSVqhP59IrczQ,seafoodmarkets,Seafood Markets
oFRunHixOnSVqhP59IrczQ,sandwiches,Sandwiches
XUXRTgv4Lq_EnUDaKvGuCQ,portuguese,Portuguese
XUXRTgv4Lq_EnUDaKvGuCQ,steak,Steakhouses
XUXRTgv4Lq_EnUDaKvGuCQ,brazilian,Brazilian
L0XYugkXpuACPMQ451MB8g,argentine,Argentine
V4kZqDh4Gdu8pVfScb4RXQ,italian,Italian
v9ET78-J8Xc7o02QdWhgGQ,newamerican,American (New)
v9ET78-J8Xc7o02QdWhgGQ,bars,Bars
t2PfNlD-FjIaWskHDIizwQ,pizza,Pizza
t2PfNlD-FjIaWskHDIizwQ,italian,Italian
t2PfNlD-FjIaWskHDIizwQ,desserts,Desserts
1dvJm3EZLh9iejUbNmTbLQ,syrian,Syrian
1dvJm3EZLh9iejUbNmTbLQ,korean,Korean
Vj97yY-Zu4Q9UgAK23UuGA,cocktailbars,Cocktail Bars
Vj97yY-Zu4Q9UgAK23UuGA,tapasmallplates,Tapas/Small Plates
pqGGfA3Vm9srfTIJLgL0Ew,cantonese,Cantonese
pqGGfA3Vm9srfTIJLgL0Ew,szechuan,Szechuan
pqGGfA3Vm9srfTIJLgL0Ew,noodles,Noodles
qt5uTX0DOsAJpNy-IwNM7g,tradamerican,American (Traditional)
qt5uTX0DOsAJpNy-IwNM7g,seafood,Seafood
qt5uTX0DOsAJpNy-IwNM7g,cocktailbars,Cocktail Bars
jsBAgq-L8dEoOtuHuCFBKQ,seafood,Seafood
eMZYkRlizs9_LlZXKPOyMw,coffee,Coffee & Tea
eMZYkRlizs9_LlZXKPOyMw,breakfast_brunch,Breakfast & Brunch
eMZYkRlizs9_LlZXKPOyMw,cafes,Cafes
Pikhqmsy370W2BXHnNfP0g,mexican,Mexican
XlDBAanEih5DDqXi3G0lMw,colombian,Colombian
XlDBAanEih5DDqXi3G0lMw,seafood,Seafood
XlDBAanEih5DDqXi3G0lMw,steak,Steakhouses
iPLXtSD442PQXnlC5jAqbg,pizza,Pizza
iPLXtSD442PQXnlC5jAqbg,italian,Italian
Vwpnrw78uJyYhcTztvLVvw,pizza,Pizza
Vwpnrw78uJyYhcTztvLVvw,cocktailbars,Cocktail Bars
Vwpnrw78uJyYhcTztvLVvw,italian,Italian
Q8rtM0Ut5TLVQwua6D1_BA,seafood,Seafood
Q8rtM0Ut5TLVQwua6D1_BA,chinese,Chinese
Q8rtM0Ut5TLVQwua6D1_BA,chicken_wings,Chicken Wings
yGYRkJ-bJDP-uC0M8_9H0g,tradamerican,American (Traditional)
yGYRkJ-bJDP-uC0M8_9H0g,irish_pubs,Irish Pub
PvLgPQs1PDYiKW1PDEkakQ,coffee,Coffee & Tea
PvLgPQs1PDYiKW1PDEkakQ,bakeries,Bakeries
PvLgPQs1PDYiKW1PDEkakQ,breakfast_brunch,Breakfast & Brunch
0DVNloBEwz5dkNMnc8r7bg,seafood,Seafood
0DVNloBEwz5dkNMnc8r7bg,newamerican,American (New)
VlYbu0z38GGpm9O0R-w0wg,seafood,Seafood
-Q6u3AkGnfxuOQl_o8prDQ,caribbean,Caribbean
KLLRrrPHsA5oQKYwreTI9w,srilankan,Sri Lankan
KLLRrrPHsA5oQKYwreTI9w,indpak,Indian
sbHJDaCzww8qCFHdEGHfoA,burgers,Burgers
sbHJDaCzww8qCFHdEGHfoA,chicken_wings,Chicken Wings
sbHJDaCzww8qCFHdEGHfoA,bars,Bars
nohDnxdAp4IsqHeTHiFGRg,sandwiches,Sandwiches
nohDnxdAp4IsqHeTHiFGRg,newamerican,American (New)
nohDnxdAp4IsqHeTHiFGRg,coffee,Coffee & Tea
9GmZACJFhwn5DlfPb60O4g,chinese,Chinese
cgiwHTmlUD-2em2MCvmzeA,indonesian,Indonesian
-WEs8Trhq6nZPMyTzrAn9Q,italian,Italian
38v8BftV98fc8Qz05V3P1A,newamerican,American (New)
38v8BftV98fc8Qz05V3P1A,cafes,Cafes
ZFaIpks0AmQKdFvqYbj0QQ,italian,Italian
ZFaIpks0AmQKdFvqYbj0QQ,pizza,Pizza
ZFaIpks0AmQKdFvqYbj0QQ,bars,Bars
U6Je0ZR02-YfVvoVo5jhmw,breakfast_brunch,Breakfast & Brunch
U6Je0ZR02-YfVvoVo5jhmw,coffee,Coffee & Tea
U6Je0ZR02-YfVvoVo5jhmw,cafes,Cafes
D5CQ4syFacfgl75a3W0Bkg,portuguese,Portuguese
D5CQ4syFacfgl75a3W0Bkg,seafood,Seafood
D5CQ4syFacfgl75a3W0Bkg,sandwiches,Sandwiches
NRMvCw_pOC3unxUUAVc6Dw,italian,Italian
NRMvCw_pOC3unxUUAVc6Dw,newamerican,American (New)
NRMvCw_pOC3unxUUAVc6Dw,breakfast_brunch,Breakfast & Brunch
0Wtbotu9gVN0uTSHLLovLQ,mediterranean,Mediterranean
0Wtbotu9gVN0uTSHLLovLQ,greek,Greek
0Wtbotu9gVN0uTSHLLovLQ,salad,Salad
_zRVdCfUcx1cwseFycSQdQ,thai,Thai
q4CBRjGixsHaK0Abm-byNw,creperies,Creperies
q4CBRjGixsHaK0Abm-byNw,sandwiches,Sandwiches
q4CBRjGixsHaK0Abm-byNw,italian,Italian
QTNqGHA0I25nG_4EgyUZag,irish,Irish
QTNqGHA0I25nG_4EgyUZag,irish_pubs,Irish Pub
owT9OU3o8Q47qC1_ggDmWw,lounges,Lounges
owT9OU3o8Q47qC1_ggDmWw,tradamerican,American (Traditional)
owT9OU3o8Q47qC1_ggDmWw,cocktailbars,Cocktail Bars
hiEd69Y3U5S9Au48GvguDA,bars,Bars
hiEd69Y3U5S9Au48GvguDA,tradamerican,American (Traditional)
hiEd69Y3U5S9Au48GvguDA,bbq,Barbeque
sRWDbIj0IA7NBlVI16968Q,cafes,Cafes
mpPZhqTzk2_Pz35gBQnbCw,newmexican,New Mexican Cuisine
vpmgMnEYi2mjheZdtLdJaA,bars,Bars
vpmgMnEYi2mjheZdtLdJaA,bbq,Barbeque
vpmgMnEYi2mjheZdtLdJaA,venues,Venues & Event Spaces
h37t9rA06Sr4EetJjKrfzw,italian,Italian
h37t9rA06Sr4EetJjKrfzw,newamerican,American (New)
PxOwmYlSn7hNq9lcu1LLvw,newamerican,American (New)
PxOwmYlSn7hNq9lcu1LLvw,bars,Bars
PxOwmYlSn7hNq9lcu1LLvw,burgers,Burgers
Cg5kGSXIelsKX9eqlHr31A,ramen,Ramen
Cg5kGSXIelsKX9eqlHr31A,japacurry,Japanese Curry
0MZLliWuOnG0mnzZSWlm4w,bars,Bars
0MZLliWuOnG0mnzZSWlm4w,steak,Steakhouses
qDgL6WRzrnZMVfPEY8wvnA,steak,Steakhouses
qDgL6WRzrnZMVfPEY8wvnA,seafood,Seafood
qDgL6WRzrnZMVfPEY8wvnA,cocktailbars,Cocktail Bars
Ib7I3icdnGl6oXjWsvVyOw,chickenshop,Chicken Shop
v_dH9Z01bytFgkgd9_IQPQ,newamerican,American (New)
v_dH9Z01bytFgkgd9_IQPQ,cajun,Cajun/Creole
XG2fmChWn_zT8jX_7ID_oA,haitian,Haitian
l5kvoGj9t3ZcR0Y3nQWcNw,cambodian,Cambodian
HIGneWKny_s38Y6jRoTDrQ,desserts,Desserts
HIGneWKny_s38Y6jRoTDrQ,burgers,Burgers
HIGneWKny_s38Y6jRoTDrQ,chicken_wings,Chicken Wings
lqwjEmopR9LGrc6ag4hL1g,desserts,Desserts
lqwjEmopR9LGrc6ag4hL1g,cafes,Cafes
psNBVMzRbfgm03ru6JKSgw,seafood,Seafood
0NeZwlGoUQ3WCA35jmdUPw,greek,Greek
0NeZwlGoUQ3WCA35jmdUPw,mediterranean,Mediterranean
6gpx42BtqgUdyYe8y9DP4Q,caribbean,Caribbean
Aw69I2eD-lYffytWGGYM8A,noodles,Noodles
Aw69I2eD-lYffytWGGYM8A,asianfusion,Asian Fusion
AHayrIxMTMOiYQ-mgiyCtQ,buffets,Buffets
AHayrIxMTMOiYQ-mgiyCtQ,chinese,Chinese
IsexBbtRCOy2qIPPYQh6_w,salad,Salad
IsexBbtRCOy2qIPPYQh6_w,newamerican,American (New)
IsexBbtRCOy2qIPPYQh6_w,seafood,Seafood
j-r95E-S2GUyoR2b6MTqpA,izakaya,Izakaya
j-r95E-S2GUyoR2b6MTqpA,sushi,Sushi Bars
Vbtj1T-ygpQoVY1IaqJdkw,spanish,Spanish
Vbtj1T-ygpQoVY1IaqJdkw,basque,Basque
Vbtj1T-ygpQoVY1IaqJdkw,tapas,Tapas Bars
1DL0JPR-7bybjQwEgvgVQw,noodles,Noodles
1DL0JPR-7bybjQwEgvgVQw,filipino,Filipino
1DL0JPR-7bybjQwEgvgVQw,asianfusion,Asian Fusion
k6mrFyNzpC5QaNfhwXl8AQ,korean,Korean
k6mrFyNzpC5QaNfhwXl8AQ,tacos,Tacos
k6mrFyNzpC5QaNfhwXl8AQ,chicken_wings,Chicken Wings
JzlqiTOdrESD1nDsUqCYKg,italian,Italian
JzlqiTOdrESD1nDsUqCYKg,seafood,Seafood
JzlqiTOdrESD1nDsUqCYKg,pizza,Pizza
AgCFMc_cyXnXHRR8HnbJ6Q,coffee,Coffee & Tea
AgCFMc_cyXnXHRR8HnbJ6Q,vietnamese,Vietnamese
AgCFMc_cyXnXHRR8HnbJ6Q,sandwiches,Sandwiches
LJjj6ad2C3VSxjHU41r-8g,dimsum,Dim Sum
